<Trait>	FI
PI529708	24.1
PI529712	49
PI529713	26
PI529714	29.1
PI529716	63.7
PI529719	50.8
PI129723	30.5
PI129742	118.8
PI152088	40.2
PI175033	41.2
PI179559	68.4
PI179607	36.3
PI180245	23.3
PI180365	92.1
PI183168	25.5
PI183202	140.3
PI185786	40.5
PI200422	94.7
PI408755	37.7
PI408756	62
PI408759	42.1
PI408764	29.3
PI408770	42.1
PI408772	105
PI417886	31.6
PI417898	68.4
PI529722	37.6
PI529724	44.7
PI529731	18.6
PI529749	23.9
PI529750	51.9
PI529751	29.1
PI529754	35.3
PI529756	29.8
PI529762	37.2
PI529764	33.9
PI452093	13.2
PI452095	52.6
PI529767	15.8
PI630019	29.7
PI529774	26.8
PI529776	102.6
PI529777	39.5
PI529779	7.9
PI529780	28.2
PI529784	27.9
PI529787	43.8
PI529788	25.6
PI529794	50.9
PI529806	100.7
PI615699	22.9
PI615700	32.8
PI615701	18.4
PI615734	19
PI615739	38.5
PI615743	24.3
PI615751	30.9
PI615752	44.1
PI615755	13.2
PI615756	45.9
PI615757	46.6
PI615761	40.3
PI615763	37.5
PI615766	10.9
PI615767	25.6
PI615769	20.5
PI615771	35.5
PI615772	36.6
PI615779	18
PI615781	18.8
PI615782	27.2
PI615783	25.5
PI615785	37.7
PI615786	67.4
PI615787	25.1
PI615788	14.1
PI615789	18.7
PI615795	32.2
PI615797	37.9
PI615798	51.7
PI615800	55.2
PI615801	25.2
PI615802	40.5
PI615804	18.6
PI615805	23.2
PI615806	49
PI615807	47.9
PI615809	42.9
PI615810	27.9
PI615811	28.4
PI615812	51.2
PI615813	16.8
PI615815	34.1
PI615816	27.8
PI615819	36.8
PI615821	32.3
PI615822	39.8
PI615823	18.3
PI615824	61.8
PI615826	63.3
PI615830	20.3
PI615834	41.2
PI615838	57.1
PI615839	32.6
PI615843	37.3
PI615844	24.1
PI615845	42.3
PI615846	39.1
PI615848	14.8
PI615849	39.1
PI615851	39.3
PI615852	25.5
PI615853	69.7
PI615854	25.4
PI615856	14.3
PI615858	23.4
PI615860	55.8
PI615865	46.5
PI615866	59.7
PI615867	43.3
PI615870	38.3
PI615871	24.8
PI615873	44.5
PI615875	52.2
PI615876	59.8
PI615877	88.2
PI615878	35
PI615879	71
PI615881	37.6
PI615884	44.7
PI615885	15.1
PI615886	56.6
PI615888	24.2
PI615889	21.5
PI615890	83.2
PI615891	24.5
PI615894	61.3
PI615895	73.7
PI615898	88.6
PI615902	91.4
PI615903	54.4
PI615907	24.7
PI615909	36.8
PI615911	57.6
PI615912	42.2
PI615914	17.7
PI615920	54.7
PI615924	53.3
PI615926	37.5
PI615931	24.7
PI615932	20.7
PI615942	29.5
PI615950	6
PI615960	18.1
PI615968	27.7
PI615970	24
PI615972	18.4
PI615977	3.3
PI615978	29.9
PI615983	15.5
PI615991	9.5
PI615995	18.5
PI616004	15.2
PI616005	26.4
PI616007	19.1
PI616008	7.4
PI616010	41.8
PI616015	17.7
PI616016	11.3
PI616021	24.4
PI616023	21.9
PI616025	51.3
PI529979	31.7
PI529980	55.2
PI529983	62.1
PI616037	30.8
PI529985	27.6
PI616039	58.5
PI529986	33.2
PI529989	13.3
PI616047	9.6
PI529992	5.5
PI616057	20.5
PI616062	11.5
PI616068	14.7
PI616069	29.5
PI616072	23.4
PI616076	44.9
PI616077	20.5
PI616078	54.9
PI616080	19.7
PI616083	28.8
PI616084	14.4
PI616097	47.7
PI616098	21.3
PI616101	110.2
PI616107	42.5
PI616109	23.7
PI616111	18.6
PI616113	28.5
PI616121	18.2
PI616126	12.3
PI616132	33.9
PI616134	27.2
PI616144	27.4
PI616151	15.5
PI616154	39.5
PI616156	37.1
PI616157	54.3
PI616158	16.1
PI616159	11.8
PI616160	35.5
PI616164	12.2
PI616167	71.3
PI616168	48.9
PI616169	74.9
PI616173	27.6
PI616181	72.4
PI616184	2.8
PI616185	22.9
PI616189	26.2
PI616192	9.7
PI616206	51.1
PI616211	19.3
PI616214	29
PI616216	13
PI616220	56.4
PI616221	64.4
PI616222	29
PI616224	39.5
PI616225	11.3
PI616226	43.1
PI616228	55.8
PI616229	114.4
PI616231	6.4
PI616233	41.7
PI616234	24.3
PI616238	23.8
PI616239	16.9
PI616243	30.1
PI616259	6.6
PI616282	66.4
PI616366	42.5
PI616368	49.3
PI616376	53.7
PI616386	44.4
