Candidate gene model,chromosomes,marker,start,stop,gene description,interpro GO
Cotton_A_18644,locus=CA_chr12,S1_662779880,121719778,121727054, GLE1-like,poly(A)+ mRNA export from nucleus
Cotton_A_18656,locus=CA_chr12,S1_662779880,121599400,121604636," Glycoside hydrolase, family 28",carbohydrate metabolic process 
Cotton_A_18652,locus=CA_chr12,S1_662779880,121667639,121672589," Glycosyl transferase, family 3",carbohydrate metabolic process 
Cotton_A_06020,locus=CA_chr12,S1_634724595 & S1_634724647,93709677,93710673, Expansin,cell wall
Cotton_A_06030,locus=CA_chr12,S1_634724595 & S1_634724647,93803480,93805015," Cytochrome b-c1 complex, subunit 8",electron transport chain
Cotton_A_18638,locus=CA_chr12,S1_662779880,121777085,121778196, Heat shock protein Hsp20,HSP
Cotton_A_26038,locus=CA_chr12,S1_662779880,121990833,121993249," NIF system FeS cluster assembly, NifU, C-terminal",iron-sulfer cluster assembly
Cotton_A_18640,locus=CA_chr12,S1_662779880,121752454,121753242, Methyltransferase type 11,metabolic process
Cotton_A_18648,locus=CA_chr12,S1_662779880,121699274,121703778, Aldo/keto reductase subgroup,NA
Cotton_A_18653,locus=CA_chr12,S1_662779880,121645584,121646585, Aldo/keto reductase subgroup,NA
Cotton_A_06037,locus=CA_chr12,S1_634724595 & S1_634724647,93893646,93898969, AMP-dependent synthetase/ligase,NA
Cotton_A_18654,locus=CA_chr12,S1_662779880,121633820,121637993," ATP-grasp fold, succinyl-CoA synthetase-type",NA
Cotton_A_06043,locus=CA_chr12,S1_634724595 & S1_634724647,93999733,94017079, Autophagy-related protein 12,NA
Cotton_A_06031,locus=CA_chr12,S1_634724595 & S1_634724647,93805577,93808270, Beta-lactamase-like,NA
Cotton_A_26041,locus=CA_chr12,S1_662779880,121943193,121944861, Bile acid:sodium symporter,NA
Cotton_A_06046,locus=CA_chr12,S1_634724595 & S1_634724647,94057445,94061281, Brevis radix-like domain,NA
Cotton_A_06033,locus=CA_chr12,S1_634724595 & S1_634724647,93830777,93836774, Bromodomain,NA
Cotton_A_06032,locus=CA_chr12,S1_634724595 & S1_634724647,93827984,93829040, C2 calcium-dependent membrane targeting,NA
Cotton_A_06018,locus=CA_chr12,S1_634724595 & S1_634724647,93673871,93674884," Chalcone isomerase, subgroup",NA
Cotton_A_18655,locus=CA_chr12,S1_662779880,121624662,121626250," Conserved hypothetical protein CHP01589, plant",NA
Cotton_A_26040,locus=CA_chr12,S1_662779880,121950199,121950726, DNA-binding pseudobarrel domain,NA
Cotton_A_26042,locus=CA_chr12,S1_662779880,121938998,121939636, DNA-binding pseudobarrel domain,NA
Cotton_A_18647,locus=CA_chr12,S1_662779880,121705107,121710186, GDP-fucose protein O-fucosyltransferase,NA
Cotton_A_06012,locus=CA_chr12,S1_634724595 & S1_634724647,93601028,93605544," Helicase, C-terminal",NA
Cotton_A_18645,locus=CA_chr12,S1_662779880,121717790,121719106," Late embryogenesis abundant protein, group 2",NA
Cotton_A_06047,locus=CA_chr12,S1_634724595 & S1_634724647,94081617,94087252, LsmAD domain,NA
Cotton_A_06029,locus=CA_chr12,S1_634724595 & S1_634724647,93797808,93799769, Pentatricopeptide repeat,NA
Cotton_A_06035,locus=CA_chr12,S1_634724595 & S1_634724647,93866197,93868089, Pentatricopeptide repeat,NA
Cotton_A_06044,locus=CA_chr12,S1_634724595 & S1_634724647,94018228,94019665, Pentatricopeptide repeat,NA
Cotton_A_18646,locus=CA_chr12,S1_662779880,121714981,121716531, Pentatricopeptide repeat,NA
Cotton_A_26025,locus=CA_chr12,S1_662779880,122116102,122119891, Polysaccharide biosynthesis protein CapD-like,NA
Cotton_A_18660,locus=CA_chr12,S1_662779880,121571225,121571980, Protein of unknown function DUF1645,NA
Cotton_A_26037,locus=CA_chr12,S1_662779880,121994234,121996620, Protein of unknown function DUF1682,NA
Cotton_A_06027,locus=CA_chr12,S1_634724595 & S1_634724647,93784358,93786688, Protein of unknown function DUF3133,NA
Cotton_A_06008,locus=CA_chr12,S1_634724595 & S1_634724647,93499497,93502760," Protein of unknown function DUF827, plant",NA
Cotton_A_18631,locus=CA_chr12,S1_662779880,121848697,121855788," Protein synthesis factor, GTP-binding",NA
Cotton_A_18643,locus=CA_chr12,S1_662779880,121729291,121735237, Ricin B lectin,NA
Cotton_A_18641,locus=CA_chr12,S1_662779880,121743510,121745456, RNA recognition motif domain,NA
Cotton_A_18636,locus=CA_chr12,S1_662779880,121789116,121790411, Transferase,NA
Cotton_A_06036,locus=CA_chr12,S1_634724595 & S1_634724647,93885850,93888994, Uncharacterised protein family Cys-rich,NA
Cotton_A_06039,locus=CA_chr12,S1_634724595 & S1_634724647,93923135,93934297, Vps51/Vps67,NA
Cotton_A_26044,locus=CA_chr12,S1_662779880,121918187,121919935," Zinc finger, RanBP2-type",NA
Cotton_A_18639,locus=CA_chr12,S1_662779880,121771375,121774706," Zinc finger, RING-type",NA
Cotton_A_18651,locus=CA_chr12,S1_662779880,121675116,121679891, Phosphoribosyltransferase,nucleoside metabolic process
Cotton_A_14138,locus=CA_chr12,S1_662779880,122143663,122147697," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_18659,locus=CA_chr12,S1_662779880,121577909,121584385," Protein kinase, catalytic domain",protein phosphorylation 
Cotton_A_06038,locus=CA_chr12,S1_634724595 & S1_634724647,93916035,93919681, Leucine-rich repeat,protein protein interaction
Cotton_A_06011,locus=CA_chr12,S1_634724595 & S1_634724647,93596276,93600315," Transmembrane receptor, eukaryota",receptor-- signal transduction??
Cotton_A_06034,locus=CA_chr12,S1_634724595 & S1_634724647,93852038,93854856, Cytochrome P450,redox 
Cotton_A_26021,locus=CA_chr12,S1_662779880,122129137,122130723," FAD linked oxidase, N-terminal",redox 
Cotton_A_26022,locus=CA_chr12,S1_662779880,122126605,122126898," FAD linked oxidase, N-terminal",redox 
Cotton_A_26023,locus=CA_chr12,S1_662779880,122126337,122126546," FAD-binding, type 2",redox 
Cotton_A_06013,locus=CA_chr12,S1_634724595 & S1_634724647,93607655,93610108," Glycerol-3-phosphate dehydrogenase, NAD-dependent, C-terminal",redox 
Cotton_A_26020,locus=CA_chr12,S1_662779880,122137459,122138391, Berberine/berberine-like,redxo
Cotton_A_18657,locus=CA_chr12,S1_662779880,121593083,121596875," 6,7-dimethyl-8-ribityllumazine synthase",riboflavin biosynthetic process
Cotton_A_18634,locus=CA_chr12,S1_662779880,121795995,121798084," Protein phosphatase 2A, regulatory B subunit, B56",signal transduction
Cotton_A_06019,locus=CA_chr12,S1_634724595 & S1_634724647,93682913,93686066, Basic-leucine zipper (bZIP) transcription factor,transcription
Cotton_A_06024,locus=CA_chr12,S1_634724595 & S1_634724647,93742581,93745017, DNA-binding WRKY,transcription
Cotton_A_06025,locus=CA_chr12,S1_634724595 & S1_634724647,93767194,93768277, DNA-binding WRKY,transcription
Cotton_A_06023,locus=CA_chr12,S1_634724595 & S1_634724647,93726339,93727033," GATA-type transcription activator, N-terminal",transcription
Cotton_A_06040,locus=CA_chr12,S1_634724595 & S1_634724647,93956493,93959468," Pathogenesis-related transcriptional factor/ERF, DNA-binding",transcription
